,cnpj,collected
Amazonas Distribuidora de Energia S.A.,02.341.467/0001-20,
Santa Gabriela Energetica S.A.,07.835.806/0001-49,
Usina Ipiranga de Acucar e Alcool S.A.,47.544.176/0001-78,
Bambui Bioenergia S.A.,07.930.999/0001-17,
Toshiba Infraestrutura America do Sul Ltda.,08.870.769/0001-72,
Ipiranga Agroindustrial S.A.,07.280.328/0001-58,
Vale Energia S.A.,02.207.392/0001-90,
Global Energia Eletrica S.A.,36.948.016/0001-78,
Cemaf Participacoes e Administracao de Bens S.A.,07.159.047/0001-41,
UTE Sao Jose da Estiva S.A.,12.013.814/0001-40,
Nova Petroleo Reconcavo S.A.,08.584.563/0001-86,
Bioenergetica Vale do Paracatu S.A.,08.793.343/0001-62,
Ecopart Investimentos S.A.,05.881.213/0001-93,
Brentech Energia S.A.,07.921.085/0001-90,
Espora Energetica S.A.,04.592.906/0001-01,
Energest S.A.,04.029.601/0001-88,
CIME Administracao e Participacoes S.A.,51.771.889/0001-41,
Hidreletrica Malagone S.A.,09.251.924/0001-35,
Florestal Brasil S.A.,07.276.103/0001-28,
Norte Brasil Transmissora de Energia S.A.,09.625.321/0001-56,
Paraiso Bioenergia S.A.,46.363.016/0001-60,
Costa Pinto S.A.,44.689.123/0001-57,
Atvos Agroindustrial Participacoes S.A.,08.842.690/0001-38,
Companhia Energetica de Brasilia,00.070.698/0001-11,
Companhia Energetica de Brasilia,00.070.698/0001-11,
Companhia Energetica de Brasilia,00.070.698/0001-11,
CEB Distribuicao S.A.,07.522.669/0001-92,
Raizen Taruma Ltda.,62.092.739/0001-28,
Manaus Transmissora de Energia S.A.,09.584.854/0001-37,
Usina Caete S.A.,12.282.034/0001-03,
Dedini S.A. Industrias de Base ,50.109.271/0001-58,
Abengoa Bioenergia Agroindustria Ltda.,06.252.818/0001-88,
Transenergia Renovavel S.A. ,10.553.895/0001-45,
Odebrecht Agroindustrial S.A.,08.636.745/0001-53,
SGBH Transmissao Participacoes Ltda.,12.117.550/0001-74,
Companhia Energetica Minas Gerais - Cemig,17.155.730/0001-64,
Companhia Energetica Minas Gerais - Cemig,17.155.730/0001-64,
Engie Brasil Energia S.A.,02.474.103/0001-19,
Omega Geracao S.A.,09.149.503/0001-06,
Afluente Geracao de Energia Eletrica S.A.,07.620.094/0001-40,
Afluente Transmissao de Energia Eletrica S.A.,10.338.320/0001-00,
Companhia Celg de Participacoes,08.560.444/0001-93,
Centrais Eletricas Brasileiras S.A.,00.001.180/0001-26,
Centrais Eletricas Brasileiras S.A.,00.001.180/0001-26,
Centrais Eletricas Brasileiras S.A.,00.001.180/0001-26,
Light S.A.,03.378.521/0001-75,
Light Servicos de Eletricidade S.A.,60.444.437/0001-46,
Companhia Estadual de Geracao e Transmissao de Energia Eletrica,92.715.812/0001-31,
Companhia Estadual de Geracao e Transmissao de Energia Eletrica,92.715.812/0001-31,
Companhia Estadual de Distribuicao de Energia Eletrica,08.467.115/0001-00,
Companhia Estadual de Distribuicao de Energia Eletrica,08.467.115/0001-00,
Cemig Distribuicao S.A.,06.981.180/0001-16,
Cemig Geracao e Transmissao S.A.,06.981.176/0001-58,
Energisa Minas Gerais - Distribuidora de Energia S.A.,19.527.639/0001-58,
RGE Sul Distribuidora de Energia S.A.,02.016.440/0001-62,
Produtores Energeticos de Manso S.A.,02.291.077/0001-93,
AES Tiete S.A.,02.998.609/0001-27,
Energisa Mato Grosso do Sul - Distribuidora de Energia S.A.,15.413.826/0001-50,
Companhia Distribuidora de Gas do Rio de Janeiro - CEG,33.938.119/0001-69,
Nexfuel Bioenergia S.A.,10.302.690/0001-97,
Alupar Investimento S.A.,08.364.948/0001-38,
Alupar Investimento S.A.,08.364.948/0001-38,
Alupar Investimento S.A.,08.364.948/0001-38,
Cosan Limited,08.887.330/0001-52,
Companhia Hidro Eletrica do Sao Francisco,33.541.368/0001-16,
Perenco Petroleo e Gas do Brasil Participacoes S.A.,12.592.795/0001-53,
Multiner S.A.,08.935.054/0001-50,
Marambaia Energia Renovavel S.A.,51.468.056/0001-06,
Pacific Rubiales Energy Corp,14.388.520/0001-28,
Tecsis Tecnologia e Sistemas Avancados S.A.,00.469.550/0001-54,
U.S.J. Acucar e Alcool S.A. ,44.209.336/0001-34,
BVP S.A. ,08.973.545/0001-96,
Linhas de Transmissao do Itatim S.A. ,10.559.663/0001-02,
CPFL Comercializacao Brasil S.A. ,04.973.790/0001-42,
Iconic Lubrificantes S.A.,05.524.572/0001-93,
Agroterenas S.A. Administracao e Participacoes,13.553.385/0001-66,
Desa Eolicas S.A. ,13.370.558/0001-00,
CSN Energia S.A. ,03.537.249/0001-29,
Petrobras Comercializadora de Energia S.A.,05.195.759/0001-90,
Raizen Caarapo S.A. Acucar e Alcool,09.538.989/0001-66,
Brookfield Energia Renovavel S.A. ,02.808.298/0001-96,
Nova Fronteira Bioenergia S.A. ,11.725.039/0001-92,
Linhas de Xingu Transmissora de Energia S.A.,10.240.186/0001-00,
Raizen Energia S.A.,08.070.508/0001-78,
Abengoa Concessoes Brasil Holding S.A. ,07.872.408/0001-00,
Agropecuaria Nossa Senhora do Carmo S.A. ,50.031.780/0001-05,
Linhas de Macapa Transmissora de Energia S.A. ,10.234.027/0001-00,
Brookfield Energia Renovavel Participacoes S.A. ,09.417.715/0001-19,
BTG Pactual Comercializadora de Energia Ltda.,07.133.522/0001-00,
Companhia Energetica Candeias S.A. ,10.508.162/0001-99,
Eletricidade do Brasil S.A. - Ebrasil,10.538.273/0001-48,
Diferencial Energia Participacoes S.A.,09.310.834/0001-78,
Sete Brasil Participacoes S.A.,13.127.015/0001-67,
Geopar - Geosol Participacoes S.A. ,19.240.555/0001-39,
Ecogen Brasil Solucoes Energeticas S.A. ,05.401.842/0001-79,
SOLenergias Comercializadora de Energia S.A. ,13.459.301/0001-20,
Capitale Energia Comercializadora Ltda.,11.599.292/0001-47,
Rio Monsaras Participacoes S.A.,14.969.641/0001-63,
Ferreira Gomes Energia S.A.,12.489.315/0001-23,
Madeira Energia S.A. - Mesa,09.068.805/0001-41,
Renuka do Brasil S.A. ,43.932.102/0001-58,
Docelar Alimentos e Bebidas S.A. ,01.893.556/0001-17,
GranInvestimentos S.A.,14.191.441/0001-22,
GranBio Investimentos S.A.,14.191.427/0001-29,
Royal FIC Distribuidora de Derivados de Petroleo S.A.,01.349.764/0001-50,
America Latina S.A. - Distribuidora de Petroleo,03.189.934/0001-01,
Ello-Puma Distribuidora de Combustiveis S.A.,04.654.590/0001-27,
Central Energetica Morrinhos S.A.,07.130.855/0001-86,
Tereos Acucar e Energia Andrade S.A.,54.929.021/0001-15,
EOX Energia Eolica S.A.,12.394.936/0001-23,
J.Pilon S.A. Acucar e Alcool ,47.254.396/0002-48,
BP Energy do Brasil Ltda.,02.873.528/0001-09,
Elebras Projetos S.A. ,04.823.041/0001-39,
Refinaria Abreu e Lima S.A.,09.474.270/0001-09,
SFE - Sociedade Fluminense de Energia Ltda.,02.754.200/0001-65,
Estreito Energia S.A. ,07.089.298/0001-05,
Setta Combustiveis S.A. ,55.483.564/0001-14,
Eneva Participacoes S.A.,15.379.168/0001-27,
Companhia Energetica Estreito ,08.976.022/0001-01,
Odebrecht Energia do Brasil S.A.,13.439.547/0001-30,
Dulcini S.A. ,01.062.529/0001-00,
Ecom Energia Holding S.A. ,12.136.137/0001-57,
Isolux Energia e Participacoes S.A. ,04.726.861/0001-02,
Companhia de Gas do Amazonas - CIGAS,00.624.964/0001-00,
Companhia Energetica do Jari,03.581.989/0001-62,
Raizen Combustiveis S.A.,33.453.598/0001-23,
BG E&P Brasil Ltda. ,02.681.185/0001-72,
Servicos de Petroleo Constellation Participacoes S.A. ,12.045.924/0001-93,
Celeo Redes Brasil S.A.,04.718.109/0001-10,
Companhia de Gas de Minas Gerais  - Gasmig,22.261.473/0001-85,
Companhia de Gas de Santa Catarina,86.864.543/0001-72,
Unialco S.A. Alcool e Acucar,44.984.490/0004-26,
Agroterenas S.A. Cana,49.894.132/0001-01,
LJN Participacoes S.A.,13.608.705/0001-38,
Elfe Operacao e Manutencao S.A. ,97.428.668/0001-76,
Biosev Bioenergia S.A. ,49.213.747/0118-28,
Petribu Participacoes S.A. ,09.325.111/0001-42,
Usina Acucareira Passos S.A. ,23.272.271/0001-00,
Delta Sucroenergia S.A. ,13.537.735/0001-09,
Linhares Geracao S.A. ,10.472.905/0001-18,
Teles Pires Participacoes S.A.,13.212.219/0001-04,
AES Tiete Eolica S.A.,11.289.590/0001-30,
Nova Renova Energia S.A.,12.041.313/0001-77,
PCH Participacoes S.A.,09.077.015/0001-22,
Dommo Energia S.A. ,08.926.302/0001-05,
Global Participacoes em Energia S.A. ,07.701.564/0001-09,
Acucareira Virgolino de Oliveira S.A. ,07.024.792/0001-83,
Arapora Bioenergia S.A.,19.818.301/0001-55,
Linha de Transmissao Corumba S.A.,13.227.009/0001-81,
Stemac S.A. Participacoes,15.383.116/0001-24,
Raizen Mime Combustiveis S.A.,01.799.935/0001-42,
Energetica Suape II S.A.,09.373.678/0001-94,
BSBios Agroindustrial S.A.,13.200.103/0001-47,
Copagaz Distribuidora de Gas S.A. ,03.237.583/0001-67,
DC Energia e Participacoes S.A. ,09.275.381/0001-96,
SPE Turbina 15 Energia S.A.,12.620.252/0001-00,
TS Participacoes e Investimentos S.A.,15.284.980/0001-79,
ERB - Energias Renovaveis do Brasil S.A.,09.324.653/0001-09,
Transmissora Sul Brasileira de Energia S.A.,14.820.905/0001-12,
BCE - Buritizal Central Energetica S.A.,12.013.570/0001-03,
Matrincha Transmissora de Energia (TP Norte) S.A.,15.286.382/0001-39,
Electra Power Geracao de Energia S.A.,07.356.196/0001-09,
Comerc Comercializadora de Energia Eletrica Ltda.,58.177.643/0001-95,
Energetica Santa Helena S.A.,37.216.363/0002-50,
CQG Construcoes Offshore S.A. ,13.079.781/0001-01,
Itaqui Geracao de Energia S.A.,08.219.477/0001-74,
Cerradinho Participacoes S.A.,11.196.718/0001-11,
Fugro Brasil - Servicos Submarinos e Levantamentos Ltda.,03.595.293/0001-95,
Termeletrica Pernambuco III S.A.,10.502.676/0001-37,
Sistac - Sistemas de Acesso S.A. ,00.832.397/0001-88,
Atiaia Energia S.A.,06.015.859/0001-50,
Glencane Bioenergia S.A.,68.316.801/0001-02,
UTE Porto do Acu Energia S.A. ,09.130.974/0001-64,
Pecem II Geracao de Energia S.A. ,10.471.487/0001-44,
Parnaiba IV Geracao de Energia S.A.,15.842.091/0001-80,
Bolognesi Energia S.A. ,11.664.185/0001-55,
Cerradinho Bioenergia S.A. ,08.322.396/0001-03,
ECE Participacoes S.A.,09.333.996/0001-21,
Forca Eolica do Brasil S.A.,12.227.426/0001-61,
Geradora Eolica Bons Ventos da Serra I S.A.,14.080.223/0001-10,
Aeris Industria e Comercio de Equipamentos para Geracao de Energia S.A.,12.528.708/0001-07,
Ypetro Distribuidora de Combustiveis S.A.,11.775.945/0001-00,
Companhia de Gas do Ceara,73.759.185/0001-96,
Petrogal Brasil S.A. ,03.571.723/0001-39,
Adecoagro Vale do Ivinhema S.A. ,07.903.169/0001-09,
Equinor Brasil Energia Ltda.,04.028.583/0001-10,
Elektro Holding S.A.,15.295.139/0001-87,
Arcelor Mittal Comercializadora de Energia Ltda.,14.549.239/0001-20,
Energetica Aguas da Pedra S.A. ,08.768.414/0001-77,
Rede Sol Fuel Distribuidora S.A.,02.913.444/0001-43,
Bioenergetica Aroeira S.A.,08.355.201/0001-13,
Casa dos Ventos Energias Renovaveis S.A.,10.772.867/0001-19,
Foz do Chapeco Energia S.A.,04.591.168/0001-70,
Companhia Hidreletrica Teles Pires S.A.,12.810.896/0001-53,
Clime Trading Comercializadora de Energia Ltda.,05.689.495/0001-21,
BME - Casa de Pedra Energia S.A.,10.528.664/0001-81,
Ventos Potiguares Comercializadora de Energia S.A.,12.623.165/0001-07,
Ceni - Central Energetica Nova Independencia S.A.,10.746.559/0001-19,
Cerpa - Central Energetica Rio Pardo S.A.,04.685.041/0001-10,
Infineum Brasil Ltda.,02.833.409/0001-14,
Usina Monte Alegre S.A.,09.094.632/0001-36,
Ouro Preto Oleo e Gas S.A.,12.091.809/0001-55,
CEA - Centrais Eolicas Assurua S.A.,10.187.906/0001-10,
Odebrecht Energia Renovavel S.A. ,19.004.942/0001-76,
Paranaiba Transmissora de Energia S.A.,17.553.029/0001-01,
BPMB Parnaiba S.A.,14.165.334/0001-20,
CBA Energia Participacoes S.A.,04.756.038/0001-40,
Serveng Energias Renovaveis S.A.,11.696.857/0001-04,
Escritorio Buffon S.A.,07.360.434/0001-41,
Parnaiba Gas Natural S.A,11.230.122/0001-90,
Denusa - Destilaria Nova Uniao S.A.,00.595.322/0001-20,
Enel Green Power Manicoba Eolica S.A.,19.011.479/0001-90,
BW Guirapa I S.A.,15.105.895/0001-04,
Queiroz Galvao Energias Renovaveis S.A.,13.950.526/0001-84,
Ventus Energias Renovaveis S.A.,15.362.012/0001-33,
National Oilwell Varco do Brasil Ltda.,02.650.425/0001-71,
Sinochem Petroleo Brasil Ltda.,06.871.406/0001-26,
Shell Brasil Petroleo Ltda.,10.456.016/0001-67,
Destilaria Vale do Paracatu Agroenergia S.A.,07.459.492/0001-27,
Empresa de Energia Sao Manoel S.A.,18.494.537/0001-10,
BP Bioenergia Ituiutaba Ltda.,08.164.344/0001-48,
Energia Sustentavel do Brasil S.A.,09.029.666/0001-47,
Elecnor do Brasil Ltda.,30.455.661/0001-72,
Matrix Energy Participacoes S.A.,19.834.826/0001-84,
BJ Services do Brasil Ltda.,15.680.333/0001-86,
Rio Paranapanema Participacoes S.A.,02.357.206/0001-07,
Baker Hughes do Brasil Ltda,42.087.254/0001-39,
SJC Bionergia Ltda.,10.249.419/0001-35,
Guarupart Participacoes Ltda.,07.709.106/0001-08,
Brasdril Sociedade de Perfuracoes Ltda.,42.101.311/0001-97,
Compass Comercializadora de Energia Ltda.,10.966.735/0001-28,
Exterran Servicos de Oleo e Gas Ltda.,02.805.820/0032-82,
OER Mineiros Energia S.A.,15.864.683/0001-00,
Usina Monte Alegre Ltda.,22.587.687/0001-46,
Diana Bioenergia Avanhandava S.A.,45.902.707/0001-21,
Mata de Santa Genebra Transmissao S.A.,19.699.063/0001-06,
Cubico Brasil S.A.,20.664.779/0001-57,
Cantareira Transmissora de Energia S.A.,20.732.109/0001-20,
Greca Distribuidora de Asfaltos S.A.,02.351.006/0001-39,
Itarema Geracao de Energia S.A.,13.234.214/0001-74,
ONGC Campos Ltda.,04.033.930/0001-00,
Enerplan Pontal Participacoes Societarias S.A.,17.184.806/0001-80,
Ventos de Sao Tito Holding S.A.,17.875.156/0001-19,
Odebrecht Energia Participacoes S.A. ,19.790.376/0001-75,
Brasiliana Participacoes S.A.,08.773.191/0001-36,
Bioenergia Barra Ltda.,18.788.137/0001-18,
Rio Parana Energia S.A.,23.096.269/0001-19,
Usina Itajobi Ltda. - Acucar e Alcool,43.533.819/0001-27,
S.A. Usina Coruripe Acucar e Alcool,12.229.415/0001-10,
Rodrigo Pedroso Investimentos e Participacoes S.A. ,08.727.367/0001-13,
Acciona Windpower Brasil - Comercio e Industria de Equipamentos Eolicos Ltda.,13.536.632/0001-16,
Vale do Tijuco Acucar e Alcool S.A.,08.493.354/0001-27,
Bela Vista Energetica S.A.,23.538.959/0001-80,
Matrix Comercializadora de Energia Eletrica Ltda.,17.858.631/0001-49,
Sao Joao Energetica S.A. ,09.591.486/0001-54,
Petrobras Logistica de Gas S.A.,23.909.766/0001-99,
Wobben Windpower Industria e Comercio Ltda.,01.027.335/0001-66,
Alianca Geracao de Energia S.A.,12.009.135/0001-05,
Cocal Comercio Industria Canaa Acucar e Alcool Ltda.,44.373.108/0001-03,
Pecem II Participacoes S.A.,16.523.901/0001-06,
Companhia Energetica Sinop S.A.,19.527.586/0001-75,
Votener - Votorantim Comercializadora de Energia Ltda.,03.984.862/0001-94,
Xingu Rio Transmissora de Energia S.A.,23.093.056/0001-33,
Votorantim Energia Ltda.,01.310.772/0001-92,
Ventos de Santo Estevao Holding Energias S.A.,16.603.346/0001-14,
Vamcruz I Participacoes S.A.,21.514.543/0001-05,
Votorantim Geracao de Energia S.A.,23.056.547/0001-04,
America Energia S.A.,11.085.823/0001-83,
Serra Para I Participacoes S.A.,22.902.631/0001-39,
Argo Energia Empreendimentos e Participacoes S.A.,24.624.551/0001-94,
Nova Energia Comercializadora S.A.,11.182.210/0001-64,
White Martins Gases Industriais Ltda. e Controladas,35.820.448/0001-36,
America Holding Participacoes S.A.,22.456.137/0001-98,
Argo Transmissao de Energia S.A.,24.624.490/0001-65,
BP Biocombustiveis S.A. ,08.204.974/0001-07,
USA - Usina Santo Angelo Ltda.,19.537.471/0001-61,
Parnaiba II Geracao de Energia S.A.,14.578.002/0001-77,
Bunge Acucar e Bioenergia S.A.,49.972.326/0001-70,
Usina Guariroba Ltda.,07.398.533/0001-12,
Usina Ouroeste Acucar e Alcool Ltda.,05.553.456/0001-00,
Deal Comercializadora de Energia Ltda.,10.671.322/0001-16,
Safira Administracao e Comercializacao de Energia S.A.,09.495.582/0001-07,
Binatural Industria e Comercio de Oleos Vegetais S.A.,07.113.559/0001-77,
Usina Itapagipe Acucar e Alcool Ltda.,06.059.962/0001-00,
Rio Sul 1 Energia Ltda.,23.829.833/0001-65,
Tag Distribuidora de Combustiveis S.A.,09.565.834/0001-19,
Brookfield Energia Comercializadora Ltda.,03.780.401/0001-08,
Nova Energia Holding S.A.,22.853.844/0001-18,
Sao Martinho Terras Agricolas S.A.,24.190.346/0001-68,
Pirapora Solar Holding S.A.,25.117.259/0001-48,
Paranaita Ribeiraozinho Transmissora de Energia S.A.,24.875.996/0001-47,
Canarana Transmissora de Energia S.A.,24.876.026/0001-66,
Cemig Geracao Tres Marias S.A.,24.263.197/0001-10,
EDP Transmissao Alianca SC S.A.,27.831.352/0001-45,
Gerdau Summit Acos Fundidos e Forjados S.A.,24.554.306/0001-58,
Companhia Energetica Jaguara,28.925.264/0001-75,
Companhia Energetica Miranda,28.942.127/0001-49,
CLWP Brasil Participacoes S.A.,15.512.172/0001-11,
Parnaiba III Geracao de Energia S.A.,10.536.701/0001-01,
Ipiranga Lubrificantes S.A.,21.814.567/0001-71,
UHE Sao Simao Energia S.A.,27.352.303/0001-20,
State Grid Brazil Power Participacoes S.A.,26.002.119/0001-97,
Echoenergia Participacoes S.A.,24.743.678/0001-22,
E4 Holding S.A.,28.131.577/0001-51,
Equatorial Transmissora 7 SPE S.A.,26.845.702/0001-60,
Equatorial Transmissora 8 SPE S.A.,27.967.244/0001-02,
Ambar Energia Ltda.,01.645.009/0003-84,
Esplanada Bioenergia S.A.,21.521.749/0001-54,
Central Hidreletrica Palmeiras do Tocantis S.A.,23.485.534/0001-50,
Central Hidreletrica Sucuri S.A.,23.509.244/0001-08,
Bom Sucesso Agroindustria S.A.,11.092.881/0001-34,
Lider Distribuidora de Petroleo S.A.,08.543.600/0001-08,
Energisa Transmissao de Energia S.A.,28.201.130/0001-01,
Esfera Comercializadora de Energia Ltda.,26.940.979/0001-71,
Celeo Redes Transmissao de Energia S.A.,31.001.230/0001-07,
Minerva Comercializadora de Energia Ltda.,24.510.849/0001-73,
Iconic Lubrificantes S.A.,05.524.572/0030-28,
Sterlite Brazil Participacoes S.A.,28.704.797/0001-27,
Total E&P do Brasil Ltda.,02.461.767/0001-43,
Companhia Energetica de Alagoas - CEAL,12.272.084/0001-00,
Serra de Ibiapaba Transmissora de Energia S.A.,29.554.549/0001-00,
Paulista Comercializadora de Energia Ltda.,15.732.189/0001-84,
Simple Energy Comercializadora de Energia Ltda.,17.112.981/0001-61,
Amil Assistencia Medica Internacional S.A.,29.309.127/0001-79,
Vision Med Assistencia Medica Ltda.,01.518.211/0001-83,
TIM Celular S.A.,04.206.050/0001-80,
Telefonica Brasil S.A.,02.558.157/0001-62,
Telefonica Brasil S.A.,02.558.157/0001-62,
Telemar Norte Leste S.A.,33.000.118/0001-79,
Claro S.A.,40.432.544/0001-47,
Empresa Brasileira de Telecomunicacoes S.A. - Embratel,33.530.486/0001-29,
Oi S.A. ,76.535.764/0001-43,
Oi S.A. ,76.535.764/0001-43,
TNL PCS S.A.,04.164.616/0001-59,
Omint Servicos de Saude Ltda.,44.673.382/0001-90,
Amico Saude Ltda.,51.722.957/0001-82,
Sul America Servicos de Saude S.A.,02.866.602/0001-51,
Grupo Hospitalar do Rio de Janeiro Ltda.,31.925.548/0001-76,
Central Nacional Unimed - Cooperativa Central,02.812.468/0001-06,
Notre Dame Intermedica Saude S.A.,44.649.812/0001-38,
Mediservice - Operadora de Planos de Saude S.A.,57.746.455/0001-78,
OdontoPrev S.A.,58.119.199/0001-51,
Interodonto - Sistema de Saude Odontologica Ltda.,71.930.226/0001-30,
Care Plus Medicina Assistencial Ltda.,02.725.347/0001-27,
Irmandade de Santa Casa de Misericordia de Sao Jose dos Campos,45.186.053/0001-87,
Terra Networks Brasil S.A.,91.088.328/0001-67,
Brooklyn Empreendimentos S.A.,61.364.022/0001-25,
Higi Serv Limpeza e Conservacao S.A.,78.570.397/0001-44,
Radio Excelsior S.A.,02.015.014/0001-04,
Vitoria Apart Hospital S.A.,02.209.094/0001-39,
Guarulhos Transportes S.A.,02.599.353/0001-85,
Companhia Municipal de Desenvolvimento de Petropolis,29.159.985/0001-84,
TV Sao Jose do Rio Preto S.A.,50.023.373/0001-56,
Coviplan Concessionaria Rodoviaria do Planalto S.A.,02.351.705/0001-89,
TODO Solucoes em Tecnologia S.A.,10.451.982/0001-91,
Promocao do Ensino de Qualidade S.A.,03.377.471/0001-01,
Agencia Click Midia Interativa S.A.,03.069.949/0001-36,
Televisao Itapoan S.A.,15.122.492/0001-65,
Viacao Salutaris e Turismo S.A.,32.285.454/0001-42,
Navegacao Guarita S.A.,92.786.680/0001-39,
Editora Atlas S.A.,61.080.370/0001-70,
TV Bauru S.A.,45.033.859/0001-35,
Transnovag Transportes S.A.,55.890.016/0001-09,
Gidion S.A. Transporte e Turismo,84.704.295/0001-77,
Wipro do Brasil Servicos de Tecnologia S.A.,00.602.221/0001-30,
Hill International Brasil S.A.,42.513.762/0001-31,
Viacao Pendotiba S.A.,30.110.597/0001-98,
Hospital Meridional S.A.,00.625.711/0001-51,
Certisign Certificadora Digital S.A.,01.554.285/0001-75,
Hotelaria do Sul S.A.,92.784.529/0001-61,
Modulo Security Solutions S.A.,28.712.123/0001-74,
Transbrasiliana - Concessionaria de Rodovia S.A.,09.074.183/0001-64,
Fundacao Dom Aguirre,71.487.094/0001-13,
COI - Clinicas Oncologicas Integradas S.A.,39.086.160/0001-30,
Terminal Maritimo do Guaruja S.A. -Termag,05.535.627/0001-60,
Paulista Praia Hotel S.A.,00.338.915/0001-01,
Transportes Sao Silvestre S.A.,33.609.496/0001-54,
Concessionaria Rodovia do Sol S.A.,02.879.926/0001-24,
STE Servicos Tecnicos de Engenharia S.A.,88.849.773/0001-98,
Distribuidora Brasileira de Asfalto S.A.,26.917.005/0001-77,
APM Terminals Itajai S.A.,04.700.714/0001-63,
Multilog Sul Armazens Gerais Ltda.,01.691.041/0001-34,
Diario de Pernambuco S.A.,10.803.492/0001-07,
Veloce Logistica S.A.,10.299.567/0001-64,
Lumina Residuos Industriais S.A.,04.977.680/0001-59,
Lasa Prospeccoes S.A.,33.054.875/0001-25,
Cepar S.A. Gestao e Participacao,28.272.177/0001-66,
Fundacao Faculdade de Medicina,56.577.059/0001-00,
